,iso_code,location,date,total_cases,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,people_vaccinated_per_hundred,population,gdp_per_capita
116,LIE,Liechtenstein,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,38254.0,0.0
117,LKA,Sri Lanka,2020-01,0.16129032258064516,0.0,0.0,0.007580645161290322,0.0,0.0,21497306.0,11669.076999999996
118,LSO,Lesotho,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,2159067.0,2851.1530000000007
119,LTU,Lithuania,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,2689862.0,29524.26500000001
120,LUX,Luxembourg,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,634814.0,94277.96499999998
121,LVA,Latvia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,1866934.0,25063.846000000012
122,MAC,Macao,2020-01,1.4838709677419355,0.0,0.0,2.253806451612903,0.11199999999999999,0.0,658391.0,104861.85099999992
123,MAR,Morocco,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,37344787.0,7485.0130000000045
124,MCO,Monaco,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,39520.0,0.0
125,MDA,Moldova,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,4024025.0,5189.972
126,MDG,Madagascar,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,28427333.0,1416.4400000000003
127,MDV,Maldives,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,543620.0,15183.615999999995
128,MEX,Mexico,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,130262220.0,17336.46899999999
129,MHL,Marshall Islands,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,59618.0,3819.2020000000016
130,MKD,North Macedonia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,2082661.0,13111.213999999994
131,MLI,Mali,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,20855724.0,2014.3059999999987
132,MLT,Malta,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,516100.0,36513.323
133,MMR,Myanmar,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,54806014.0,5591.597000000001
134,MNE,Montenegro,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,628051.0,16409.288
135,MNG,Mongolia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,3329282.0,11840.846000000003
136,MOZ,Mozambique,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,32163045.0,1136.1029999999998
137,MRT,Mauritania,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,4775110.0,3597.633000000001
